layer,label,index,theta,radius,x,y
φ₀,Hush / Cradle,184,441.5932342700722,13.564659966250536,-2.687788253452634,13.295705859584968
φ₀,Hush / Cradle,185,443.99319749980083,13.601470508735444,-7.018222726249565,-11.650946303401888
φ₀,Hush / Cradle,186,446.3931607295295,13.638181696985855,13.080329729826001,3.8606960718282477
φ₀,Hush / Cradle,187,448.79312395925814,13.674794331177344,-12.28578450910843,6.004956202650548
φ₀,Hush / Cradle,188,451.1930871889868,13.711309200802088,5.016224317619779,-12.760779505787253
φ₀,Hush / Cradle,189,453.59305041871545,13.74772708486752,4.934045347860294,12.83180410173325
φ₀,Hush / Cradle,190,455.9930136484441,13.784048752090222,-12.338483139678594,-6.145065810214484
φ₀,Hush / Cradle,191,458.39297687817276,13.820274961085254,13.283765673566005,-3.813340993117392
φ₀,Hush / Cradle,192,460.79294010790136,13.856406460551018,-7.238034216403642,11.815703985889714
φ₀,Hush / Cradle,193,463.19290333763,13.892443989449804,-2.651169427175911,-13.637129487850723
φ₀,Hush / Cradle,194,465.59286656735867,13.92838827718412,11.195530175683993,8.28613927503932
φ₀,Hush / Cradle,195,467.9928297970873,13.96424004376894,-13.888098463142144,1.4562695760293463
φ₀,Hush / Cradle,196,470.392793026816,14.0,9.280661048893913,-10.481857206408764
φ₀,Hush / Cradle,197,472.79275625654464,14.035668847618199,0.23772631724648885,14.033655482378368
φ₀,Hush / Cradle,198,475.1927194862733,14.071247279470288,-9.679363837518663,-10.213222591373205
φ₀,Hush / Cradle,199,477.59268271600195,14.106735979665885,14.071594681261516,0.9950995559704781
φ₁,Witness / Illumination,200,479.9926459457306,14.142135623730951,-11.075860424703789,8.793481440958436
φ₁,Witness / Illumination,201,482.39260917545926,14.177446878757825,2.232644175211364,-14.000546417440098
φ₁,Witness / Illumination,202,484.7925724051879,14.212670403551895,7.830357007788968,11.86109224020158
φ₁,Witness / Illumination,203,487.19253563491657,14.247806848775006,-13.819995671601268,-3.4652156696116756
φ₁,Witness / Illumination,204,489.5924988646452,14.2828568570857,12.561981250082024,-6.796810065949145
φ₁,Witness / Illumination,205,491.9924620943739,14.317821063276353,-4.683070876914013,13.53029368350147
φ₁,Witness / Illumination,206,494.39242532410253,14.352700094407323,-5.700283815274356,-13.17219664389054
